Generation,Name,Party,BirthYear,BillCount
Gen X,"Whitesides, George",D,1974,5
Gen X,"Fine, Randy",R,1974,15
Gen X,"Patronis, Jimmy",R,1972,8
Gen X,"Vindman, Eugene Simon",D,1975,24
Gen X,"Taylor, David J.",R,1969,20
Gen X,"Shreve, Jefferson",R,1965,7
Gen X,"Schmidt, Derek",R,1968,6
Gen X,"McGuire, John J.",R,1968,9
Gen X,"McDonald Rivet, Kristen",D,1970,7
Gen X,"Moore, Tim",R,1970,15
Gen X,"Moore, Riley M.",R,1980,10
Gen X,"Mannion, John W.",D,1968,3
Gen X,"Kennedy, Mike",R,1969,21
Gen X,"Johnson, Julie",D,1966,11
Gen X,"Harris, Mark",R,1966,8
Gen X,"Gillen, Laura",D,1969,7
Gen X,"Goldman, Craig A.",R,1968,5
Gen X,"Friedman, Laura",D,1966,7
Gen X,"Fedorchak, Julie",R,1968,10
Gen X,"Dexter, Maxine",D,1972,6
Gen X,"Downing, Troy",R,1967,15
Gen X,"Bynum, Janelle S.",D,1975,5
Gen X,"Biggs, Sheri",R,1970,7
Gen X,"Baumgartner, Michael",R,1975,11
Gen X,"McCormick, Richard",R,1968,45
Gen X,"Stutzman, Marlin A.",R,1976,34
Gen X,"Morrison, Kelly",D,1969,9
Gen X,"Haridopolos, Mike",R,1970,2
Gen X,"Crank, Jeff",R,1967,4
Gen X,"Bell, Wesley",D,1974,12
Gen X,"Wied, Tony",R,1976,10
Gen X,"Rulli, Michael A.",R,1969,9
Gen X,"Fong, Vince",R,1979,13
Gen X,"Kennedy, Timothy M.",D,1976,25
Gen X,"McClellan, Jennifer L.",D,1972,38
Gen X,"Van Orden, Derrick",R,1969,54
Gen X,"Ogles, Andrew",R,1971,190
Gen X,"Moran, Nathaniel",R,1974,35
Gen X,"Luttrell, Morgan",R,1975,41
Gen X,"Kiggans, Jennifer A.",R,1971,60
Gen X,"De La Cruz, Monica",R,1974,52
Gen X,"Balint, Becca",D,1968,32
Gen X,"Moore, Barry",R,1966,52
Gen X,"Greene, Marjorie Taylor",R,1974,109
Gen X,"Cisneros, Gilbert Ray",D,1971,23
Gen X,"Gonzalez, Vicente",D,1967,47
Gen X,"Tokuda, Jill N.",D,1976,55
Gen X,"Sorensen, Eric",D,1976,19
Gen X,"Salinas, Andrea",D,1969,41
Gen X,"Nunn, Zachary",R,1979,105
Gen X,"Moskowitz, Jared",D,1980,29
Gen X,"Mills, Cory",R,1980,38
Gen X,"McGarvey, Morgan",D,1979,36
Gen X,"Lee, Laurel M.",R,1974,35
Gen X,"Landsman, Greg",D,1976,31
Gen X,"LaLota, Nick",R,1978,58
Gen X,"Kean, Thomas H.",R,1968,39
Gen X,"Jackson, Jonathan L.",D,1966,11
Gen X,"Houchin, Erin",R,1976,49
