Generation,Name,Party,BirthYear,BillCount,BioguideID,OfficialPhotoURL,PhotoURL
Gen X,"Whitesides, George",D,1974.0,5,W000830,https://bioguide.congress.gov/bioguide/photo/W/W000830.jpg,https://bioguide.congress.gov/bioguide/photo/W/W000830.jpg
Gen X,"Fine, Randy",R,1974.0,15,F000484,https://bioguide.congress.gov/bioguide/photo/F/F000484.jpg,https://bioguide.congress.gov/bioguide/photo/F/F000484.jpg
Gen X,"Patronis, Jimmy",R,1972.0,8,P000622,https://bioguide.congress.gov/bioguide/photo/P/P000622.jpg,https://bioguide.congress.gov/bioguide/photo/P/P000622.jpg
Gen X,"Vindman, Eugene Simon",D,1975.0,24,V000138,https://bioguide.congress.gov/bioguide/photo/V/V000138.jpg,https://bioguide.congress.gov/bioguide/photo/V/V000138.jpg
Gen X,"Taylor, David J.",R,1969.0,20,T000490,https://bioguide.congress.gov/bioguide/photo/T/T000490.jpg,https://bioguide.congress.gov/bioguide/photo/T/T000490.jpg
Gen X,"Shreve, Jefferson",R,1965.0,7,S001229,https://bioguide.congress.gov/bioguide/photo/S/S001229.jpg,https://bioguide.congress.gov/bioguide/photo/S/S001229.jpg
Gen X,"Schmidt, Derek",R,1968.0,6,S001228,https://bioguide.congress.gov/bioguide/photo/S/S001228.jpg,https://bioguide.congress.gov/bioguide/photo/S/S001228.jpg
Gen X,"McGuire, John J.",R,1968.0,9,M001239,https://bioguide.congress.gov/bioguide/photo/M/M001239.jpg,https://bioguide.congress.gov/bioguide/photo/M/M001239.jpg
Gen X,"McDonald Rivet, Kristen",D,1970.0,7,M001237,https://bioguide.congress.gov/bioguide/photo/M/M001237.jpg,https://bioguide.congress.gov/bioguide/photo/M/M001237.jpg
Gen X,"Moore, Tim",R,1970.0,15,M001236,https://bioguide.congress.gov/bioguide/photo/M/M001236.jpg,https://bioguide.congress.gov/bioguide/photo/M/M001236.jpg
Gen X,"Moore, Riley M.",R,1980.0,10,M001235,https://bioguide.congress.gov/bioguide/photo/M/M001235.jpg,https://bioguide.congress.gov/bioguide/photo/M/M001235.jpg
Gen X,"Mannion, John W.",D,1968.0,3,M001231,https://bioguide.congress.gov/bioguide/photo/M/M001231.jpg,https://bioguide.congress.gov/bioguide/photo/M/M001231.jpg
Gen X,"Kennedy, Mike",R,1969.0,21,K000403,https://bioguide.congress.gov/bioguide/photo/K/K000403.jpg,https://bioguide.congress.gov/bioguide/photo/K/K000403.jpg
Gen X,"Johnson, Julie",D,1966.0,11,J000310,https://bioguide.congress.gov/bioguide/photo/J/J000310.jpg,https://bioguide.congress.gov/bioguide/photo/J/J000310.jpg
Gen X,"Harris, Mark",R,1966.0,8,H001102,https://bioguide.congress.gov/bioguide/photo/H/H001102.jpg,https://bioguide.congress.gov/bioguide/photo/H/H001102.jpg
Gen X,"Gillen, Laura",D,1969.0,7,G000602,https://bioguide.congress.gov/bioguide/photo/G/G000602.jpg,https://bioguide.congress.gov/bioguide/photo/G/G000602.jpg
Gen X,"Goldman, Craig A.",R,1968.0,5,G000601,https://bioguide.congress.gov/bioguide/photo/G/G000601.jpg,https://bioguide.congress.gov/bioguide/photo/G/G000601.jpg
Gen X,"Friedman, Laura",D,1966.0,7,F000483,https://bioguide.congress.gov/bioguide/photo/F/F000483.jpg,https://bioguide.congress.gov/bioguide/photo/F/F000483.jpg
Gen X,"Fedorchak, Julie",R,1968.0,10,F000482,https://bioguide.congress.gov/bioguide/photo/F/F000482.jpg,https://bioguide.congress.gov/bioguide/photo/F/F000482.jpg
Gen X,"Dexter, Maxine",D,1972.0,6,D000635,https://bioguide.congress.gov/bioguide/photo/D/D000635.jpg,https://bioguide.congress.gov/bioguide/photo/D/D000635.jpg
Gen X,"Downing, Troy",R,1967.0,15,D000634,https://bioguide.congress.gov/bioguide/photo/D/D000634.jpg,https://bioguide.congress.gov/bioguide/photo/D/D000634.jpg
Gen X,"Bynum, Janelle S.",D,1975.0,5,B001326,https://bioguide.congress.gov/bioguide/photo/B/B001326.jpg,https://bioguide.congress.gov/bioguide/photo/B/B001326.jpg
Gen X,"Biggs, Sheri",R,1970.0,7,B001325,https://bioguide.congress.gov/bioguide/photo/B/B001325.jpg,https://bioguide.congress.gov/bioguide/photo/B/B001325.jpg
Gen X,"Baumgartner, Michael",R,1975.0,11,B001322,https://bioguide.congress.gov/bioguide/photo/B/B001322.jpg,https://bioguide.congress.gov/bioguide/photo/B/B001322.jpg
Gen X,"McCormick, Richard",R,1968.0,45,M001218,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001218.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001218.jpg
Gen X,"Stutzman, Marlin A.",R,1976.0,34,S001188,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S001188.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/S001188.jpg
Gen X,"Morrison, Kelly",D,1969.0,9,M001234,https://bioguide.congress.gov/bioguide/photo/M/M001234.jpg,https://bioguide.congress.gov/bioguide/photo/M/M001234.jpg
Gen X,"Haridopolos, Mike",R,1970.0,2,H001099,https://bioguide.congress.gov/bioguide/photo/H/H001099.jpg,https://bioguide.congress.gov/bioguide/photo/H/H001099.jpg
Gen X,"Crank, Jeff",R,1967.0,4,C001137,https://bioguide.congress.gov/bioguide/photo/C/C001137.jpg,https://bioguide.congress.gov/bioguide/photo/C/C001137.jpg
Gen X,"Bell, Wesley",D,1974.0,12,B001324,https://bioguide.congress.gov/bioguide/photo/B/B001324.jpg,https://bioguide.congress.gov/bioguide/photo/B/B001324.jpg
Gen X,"Wied, Tony",R,1976.0,10,W000829,https://bioguide.congress.gov/bioguide/photo/W/W000829.jpg,https://bioguide.congress.gov/bioguide/photo/W/W000829.jpg
Gen X,"Rulli, Michael A.",R,1969.0,9,R000619,https://bioguide.congress.gov/bioguide/photo/R/R000619.jpg,https://bioguide.congress.gov/bioguide/photo/R/R000619.jpg
Gen X,"Fong, Vince",R,1979.0,13,F000480,https://bioguide.congress.gov/bioguide/photo/F/F000480.jpg,https://bioguide.congress.gov/bioguide/photo/F/F000480.jpg
Gen X,"Kennedy, Timothy M.",D,1976.0,25,K000402,https://bioguide.congress.gov/bioguide/photo/K/K000402.jpg,https://bioguide.congress.gov/bioguide/photo/K/K000402.jpg
Gen X,"McClellan, Jennifer L.",D,1972.0,38,M001227,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001227.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001227.jpg
Gen X,"Van Orden, Derrick",R,1969.0,54,V000135,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/V000135.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/V000135.jpg
Gen X,"Ogles, Andrew",R,1971.0,190,O000175,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/O000175.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/O000175.jpg
Gen X,"Moran, Nathaniel",R,1974.0,35,M001224,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001224.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/M001224.jpg
Gen X,"Luttrell, Morgan",R,1975.0,41,L000603,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/L000603.jpg,https://raw.githubusercontent.com/unitedstates/images/gh-pages/congress/225x275/L000603.jpg
